File; Clique; Time (sec); Vertices
C125.9.clq; 34; 10.373 44,100,98,53,39,113,6,48,109,17,69,79,122,59,28,1,10,76,78,24,4,124,8,114,30,121,43,116,47,67,70,120,33,0
johnson8-2-4.clq; 4; 0.351 19,24,1,11
johnson16-2-4.clq; 8; 7.243 87,67,113,61,94,8,21,50
MANN_a9.clq; 16; 1.514 28,24,33,38,39,43,12,30,18,21,5,4,6,7,10,17
MANN_a27.clq; 120; 118.423 253,248,259,242,239,244,282,249,281,255,277,236,266,273,201,212,261,206,209,272,200,195,193,231,230,213,267,191,224,221,218,351,343,349,225,346,340,332,366,377,373,354,334,365,336,296,307,370,359,362,300,298,305,293,290,287,326,323,319,329,313,309,316,84,83,73,77,79,98,107,87,70,68,102,92,94,46,101,42,37,32,34,27,39,63,58,54,48,51,60,160,157,162,168,166,155,184,151,178,188,180,149,173,124,118,109,116,112,175,127,121,140,143,145,133,135,129,8,6,3
p_hat1000-1.clq; 10; 221.087 170,861,79,377,321,910,940,820,927,753
keller4.clq; 11; 12.625 29,0,71,14,143,125,49,21,89,127,96
hamming8-4.clq; 16; 30.866 164,185,234,143,193,220,146,35,247,8,21,112,109,70,62,91
brock200_1.clq; 20; 19.444 102,21,26,31,198,143,103,194,137,44,108,190,162,37,129,3,127,48,106,40
brock200_2.clq; 12; 13.964 69,182,47,157,148,104,54,144,26,134,119,120
brock200_3.clq; 14; 16.444 10,91,100,20,155,174,55,95,65,136,35,58,46,84
brock200_4.clq; 15; 17.824 89,61,90,142,94,52,39,136,23,7,187,19,119,42,192
gen200_p0.9_44.clq; 37; 25.591 173,51,176,1,71,85,26,48,18,198,166,98,7,168,69,23,64,135,90,68,139,106,49,128,60,55,8,38,178,76,62,120,161,73,44,9,174
gen200_p0.9_55.clq; 39; 25.488 109,104,57,44,132,88,102,105,151,159,91,49,0,108,120,136,42,76,38,26,51,163,13,180,99,12,150,196,17,39,121,19,56,197,18,68,158,55,65
brock400_1.clq; 22; 77.58 319,371,181,289,3,212,121,131,124,61,251,303,329,210,109,217,230,30,359,127,246,332
brock400_2.clq; 23; 78.159 56,289,399,116,126,188,390,30,244,42,113,134,230,391,142,377,306,104,96,302,204,260,68
brock400_3.clq; 23; 77.852 56,91,154,184,89,358,115,101,60,381,121,350,185,309,142,12,131,26,216,118,33,336,385
brock400_4.clq; 23; 78.174 237,313,322,64,356,386,27,294,268,152,384,161,312,51,343,381,149,235,192,272,375,98,179
sanr400_0.7.clq; 20; 73.52 69,172,277,16,47,25,113,329,266,110,331,249,185,370,268,18,398,182,87,371
p_hat1000-2.clq; 43; 330.724 762,800,463,460,818,797,992,561,899,225,488,622,377,491,776,64,638,861,799,415,635,496,996,607,282,829,781,652,536,226,639,369,74,704,956,661,548,96,754,297,960,760,321
p_hat500-3.clq; 47; 123.598 341,265,479,237,220,68,398,403,301,499,123,205,417,201,221,488,149,307,132,444,439,230,70,172,380,411,38,247,454,299,348,407,489,18,22,101,459,159,367,261,347,427,62,170,136,322,214
p_hat1500-1.clq; 11; 518.671 357,71,311,433,67,371,1398,29,711,554,1045
p_hat300-3.clq; 35; 43.542 218,189,238,204,296,3,258,267,254,75,246,289,286,55,18,32,118,48,39,88,234,173,42,20,148,19,175,251,137,97,17,221,292,298,198
san1000.clq; 8; 328.653 272,594,7,536,3,525,754,501
sanr200_0.9.clq; 39; 24.114 149,109,142,106,92,83,139,29,152,163,71,148,91,69,1,17,66,80,128,14,115,174,101,15,170,94,39,188,56,62,196,5,157,145,93,32,166,6,67
