File; Clique; Time (sec)
C125.9.clq; 34; 6.24 103,113,109,110,98,53,6,79,10,18,39,97,28,124,66,69,76,33,95,48,8,21,116,51,78,43,24,92,65,12,67,102,54,121
johnson8-2-4.clq; 4; 0.21 26,15,7,5
johnson16-2-4.clq; 8; 4.212 89,72,105,99,23,11,9,54
MANN_a9.clq; 16; 0.928 42,10,13,21,16,31,24,27,18,39,36,35,5,6,8,3
MANN_a27.clq; 120; 70.067 64,182,62,241,113,239,249,260,153,248,243,203,114,152,197,198,213,206,147,119,120,263,140,142,269,270,275,236,194,257,254,265,146,128,191,108,129,172,183,232,224,211,207,230,344,350,347,341,351,355,338,282,226,332,335,220,377,364,366,281,358,362,305,301,296,298,292,307,290,329,324,319,66,45,43,41,99,287,57,35,32,29,38,106,312,103,98,370,94,311,89,92,217,277,374,322,316,81,54,51,49,165,164,160,158,168,178,186,176,125,80,84,77,69,72,136,134,4,6,14
p_hat1000-1.clq; 10; 118.542 460,28,537,91,463,177,759,79,119,992
keller4.clq; 11; 6.814 3,23,86,27,37,41,119,133,97,111,21
hamming8-4.clq; 16; 15.697 161,182,138,157,239,44,59,211,16,7,196,117,98,73,94,248
brock200_1.clq; 20; 11.137 2,26,31,21,114,103,102,194,143,43,196,181,86,129,44,136,37,40,48,106
brock200_2.clq; 10; 7.362 48,112,27,45,60,82,197,109,178,1
brock200_3.clq; 14; 8.927 100,10,91,20,55,84,174,46,65,155,58,35,95,136
brock200_4.clq; 15; 9.742 61,90,197,142,195,136,89,18,188,119,23,19,71,47,104
gen200_p0.9_44.clq; 36; 13.944 1,26,125,49,48,132,85,198,71,18,176,64,58,51,98,7,173,74,16,144,135,68,90,87,4,128,178,155,44,174,19,55,121,161,9,76
gen200_p0.9_55.clq; 39; 14.267 88,109,168,49,102,20,57,158,44,120,105,12,91,151,0,155,132,92,177,76,51,136,180,38,82,26,182,172,121,115,185,18,188,95,196,39,179,152,150
brock400_1.clq; 23; 44.527 218,247,329,371,40,282,175,319,221,163,169,121,183,188,237,112,173,315,65,382,306,287,189
brock400_2.clq; 23; 45.294 15,130,131,134,399,56,98,318,148,108,40,269,349,128,288,23,325,177,252,255,39,77,150
brock400_3.clq; 23; 44.412 154,350,203,101,358,89,91,309,115,56,336,381,121,243,362,60,131,385,12,142,33,276,198
brock400_4.clq; 22; 44.378 356,237,241,322,291,378,25,120,294,312,274,246,41,398,105,119,180,339,54,172,373,286
sanr400_0.7.clq; 19; 41.123 277,172,296,69,113,16,25,110,329,18,185,371,87,249,370,47,182,331,21
p_hat1000-2.clq; 43; 215.176 460,797,488,377,992,225,762,463,861,800,818,64,776,899,415,622,491,652,84,282,635,638,799,537,996,496,661,321,607,781,561,536,74,226,704,548,599,388,369,96,956,297,878
p_hat500-3.clq; 46; 75.198 123,479,265,70,147,341,301,411,417,220,205,68,403,488,214,444,221,398,307,149,495,132,202,499,442,38,439,36,247,62,230,299,268,348,22,407,454,459,388,367,159,427,347,183,169,136
p_hat1500-1.clq; 11; 343.5 67,311,357,433,71,371,1398,711,554,29,1045
p_hat300-3.clq; 34; 24.976 37,75,238,258,55,3,189,218,254,39,267,48,204,246,148,289,47,32,18,118,298,286,88,42,251,97,175,198,20,137,19,221,173,292
san1000.clq; 8; 210.678 220,454,827,7,16,48,340,366
sanr200_0.9.clq; 39; 13.959 56,142,149,92,139,109,62,106,91,29,152,163,11,148,80,66,69,58,71,115,144,1,128,169,101,166,97,174,180,32,25,188,94,196,6,38,118,93,157
